2025-12-16 22:08:04,603	WARNING deprecation.py:50 -- DeprecationWarning: `remote_workers()` has been deprecated. Use `Use either the `foreach_worker()`, `foreach_worker_with_id()`, or `foreach_worker_async()` APIs of `WorkerSet`, which all handle fault tolerance.` instead. This will raise an error in the future!
[NONE] Epoch  83 | Reward=169.83 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9103.8/s | Compile=None | Swap=None | Infer=0.029s | Env=0.179s
[NONE] Epoch  84 | Reward=179.40 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9072.2/s | Compile=None | Swap=None | Infer=0.029s | Env=0.179s
[NONE] Epoch  85 | Reward=181.00 | Samples=2000 | Total=0.21s (Rollout=0.19s, Train=0.01s) | Thrpt=9644.2/s | Compile=None | Swap=None | Infer=0.027s | Env=0.167s
[NONE] Epoch  86 | Reward=152.59 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9773.6/s | Compile=None | Swap=None | Infer=0.027s | Env=0.166s
[NONE] Epoch  87 | Reward=128.57 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9415.9/s | Compile=None | Swap=None | Infer=0.027s | Env=0.171s
[NONE] Epoch  88 | Reward=169.73 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9636.8/s | Compile=None | Swap=None | Infer=0.027s | Env=0.170s
[NONE] Epoch  89 | Reward=149.50 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9561.5/s | Compile=None | Swap=None | Infer=0.027s | Env=0.172s
[NONE] Epoch  90 | Reward=135.81 | Samples=2000 | Total=0.30s (Rollout=0.29s, Train=0.01s) | Thrpt=6684.1/s | Compile=None | Swap=None | Infer=0.036s | Env=0.252s
[NONE] Epoch  91 | Reward=170.00 | Samples=2000 | Total=0.28s (Rollout=0.26s, Train=0.01s) | Thrpt=7197.1/s | Compile=None | Swap=None | Infer=0.035s | Env=0.230s
[NONE] Epoch  92 | Reward=188.00 | Samples=2000 | Total=0.31s (Rollout=0.30s, Train=0.01s) | Thrpt=6365.0/s | Compile=None | Swap=None | Infer=0.043s | Env=0.258s
[NONE] Epoch  93 | Reward=219.00 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9246.9/s | Compile=None | Swap=None | Infer=0.028s | Env=0.177s
[NONE] Epoch  94 | Reward=200.11 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9870.6/s | Compile=None | Swap=None | Infer=0.027s | Env=0.165s
[NONE] Epoch  95 | Reward=273.12 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9807.6/s | Compile=None | Swap=None | Infer=0.027s | Env=0.167s
[NONE] Epoch  96 | Reward=255.11 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9761.8/s | Compile=None | Swap=None | Infer=0.027s | Env=0.166s
[NONE] Epoch  97 | Reward=238.00 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9778.6/s | Compile=None | Swap=None | Infer=0.027s | Env=0.167s
[NONE] Epoch  98 | Reward=231.22 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9832.1/s | Compile=None | Swap=None | Infer=0.027s | Env=0.165s
[NONE] Epoch  99 | Reward=226.80 | Samples=2000 | Total=0.21s (Rollout=0.19s, Train=0.01s) | Thrpt=9753.0/s | Compile=None | Swap=None | Infer=0.027s | Env=0.167s
[NONE] Epoch 100 | Reward=179.10 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9602.1/s | Compile=None | Swap=None | Infer=0.027s | Env=0.169s

=== Summary (none) ===
Epochs: 100
Reward mean (avg over epochs): 117.62
Total time (avg per epoch): 0.24s
  Rollout time avg: 0.23s | Train time avg: 0.01s
Throughput (avg samples/s): 8641.5
Compile latency: N/A
